,algorithm,similarity_measure,execution_time,n_clusters,labels,Silhouette Score,Davies-Bouldin Index,Mean Inter-Cluster Distance,Modularity,Conductance,Normalized Cut,Rand Index,Adjusted Rand Index,Normalized Mutual Information,melhor_silhouette,cluster
20,som,CNE Similarity,0.0054073333740234375,4,"[1 1 1 1 1 1 2 1 1 2 1 1 0 1 1 1 2 1 1 1 1 1 1 2 2 2 1 1 2 0 0 0 0 1 0 1 1
 1 1 0 1 1 0 0 0 0 1 1 1 1 1 3 3 3 1 1 3 1 1 3 3 3 3 3 3 3 1 1 1 0 2 3 1 3
 3 1 1 1 1 0 0 1 1 2 1 2 2 2 1 0 1 1 2 2 2 2 1 1 1 1 2 2 1 1 1 1 2 1 3 1 3
 1 2 1 1 2 2 1 1 3 3 1 2 1 1 1 1 3 1 1 1 2 1 2 2 2 1 2 1 2 1 1 1 1 1 0 1 1
 3 1 3 3 2 1 0 1 2 2 1 1 0 0 1 3 1 1 2 1 1 1 0 0 1 1 1 1 1 1 2 1 1 1 1 2 1
 1 1 1 1 1 2 1 1 1 2 1 2 1 1 2 2 1 1 2 1 1 1 1 1 1 1 3 2 1 1 1 0 1 2 2 1 1
 1 1 2 0 2 1 1 1 0 1 1 1 1 1]",0.08161144761792703,2.8447007551623256,2.2583585489119327,,,,0.5817886765236207,0.0001003180571190695,0.33274781700059286,False,0
21,kmeans,CNE Similarity,0.0,5,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
22,fuzzy_c_means,CNE Similarity,0.0034923553466796875,5,"[2 2 1 1 1 1 2 2 0 2 1 2 2 1 1 3 0 1 2 1 1 1 1 0 1 0 2 2 0 2 2 2 2 1 2 1 0
 1 1 2 2 2 2 2 2 2 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 2 0 0 2 0
 0 3 1 0 1 2 2 3 3 0 0 2 0 0 2 2 2 1 0 0 2 0 0 2 3 0 2 0 2 2 2 0 2 0 0 0 0
 0 0 0 0 2 0 3 0 0 0 0 2 2 0 1 0 0 2 0 0 2 1 0 2 0 0 0 0 2 0 0 2 1 2 2 0 0
 0 0 0 0 0 1 2 3 2 2 1 1 2 2 2 0 1 1 0 2 2 3 2 2 0 2 2 1 1 1 0 1 1 2 2 0 4
 2 3 1 0 2 2 1 2 1 2 1 0 1 1 2 0 1 1 2 2 1 2 2 3 2 3 0 2 2 2 2 2 1 2 0 2 2
 1 1 2 2 2 2 2 2 2 0 2 2 1 2]",0.0007678936515446628,2.9344767280319712,2.1799193267894768,,,,0.6880634691669671,0.00015905617852720916,0.36974368343663755,False,0
23,dbscan,CNE Similarity,0.0,5,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
24,hierarchical,CNE Similarity,0.003301382064819336,5,"[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 2 0 0
 0 0 0 1 0 2 2 2 2 0 0 0 0 0 0 0 4 0 0 4 0 0 4 4 0 4 4 4 4 0 0 0 2 0 4 1 4
 4 0 0 0 0 2 2 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 3
 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 2 3 0
 0 0 0 0 0 0 2 1 0 0 0 0 2 2 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 3 0
 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 4 0 1 1 0 0 0 0 0 1 2
 0 0 0 0 0 0 1 0 0 0 1 0 0 1]",0.119137789678459,1.877650398599669,2.3753543481209496,,,,0.44803461954561846,5.853551988637918e-05,0.2908425659363661,False,0
25,spectral,CNE Similarity,0.10384273529052734,5,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 4 4 4 4 0 4 4 4
 4 4 4 0 0 4 4 4 4 0 4 0 0 4 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 4 2 1 0 1
 1 0 4 4 4 4 4 0 0 2 4 0 2 2 0 4 0 0 2 2 0 0 0 0 0 1 0 0 0 0 0 0 0 3 3 3 3
 3 0 3 3 0 0 0 3 0 0 3 0 0 3 0 3 3 0 0 4 0 0 0 0 2 3 2 3 0 3 4 0 0 0 4 3 3
 3 0 3 3 0 0 4 0 0 0 4 4 4 4 0 0 4 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 3 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 2 0 0 0 0]",0.07444075396273996,2.441842180510981,2.1800195796258857,,,,0.5508835196538046,8.845330550002654e-05,0.3397608878255793,False,0
26,gmm,CNE Similarity,0.3698997497558594,5,"[1 2 1 1 1 1 3 1 1 0 1 1 0 1 1 1 1 1 3 1 1 1 1 1 1 1 3 3 1 1 4 4 4 1 4 1 1
 1 1 1 2 3 4 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 2 1
 1 0 1 1 1 4 0 2 1 1 1 3 1 1 3 0 2 1 1 1 3 1 3 0 0 1 3 1 3 2 2 3 3 1 1 1 1
 1 1 1 1 3 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 3 1 1 1 1 0 1 1 2 1 3 4 1 1
 1 1 1 1 1 1 4 2 3 3 1 1 4 4 3 1 1 1 1 2 2 2 2 3 1 1 3 1 1 1 0 1 1 2 2 1 3
 3 1 1 1 1 0 1 1 1 3 1 1 1 1 0 1 1 1 3 2 1 1 3 2 2 2 1 3 2 2 3 3 1 3 1 2 3
 1 1 3 3 3 3 2 3 3 1 2 0 1 2]",0.08279817243392351,2.293623476516006,2.246332817613038,,,,0.5769203029210241,9.833404594832719e-05,0.3506967824316351,False,0
27,som,CNE Similarity,0.005285978317260742,5,"[4 4 3 3 3 3 4 4 3 2 3 3 4 3 3 3 2 3 4 3 3 3 3 3 3 2 4 4 3 0 0 0 0 3 0 3 3
 3 3 0 4 4 0 0 0 0 3 3 3 3 3 1 1 1 3 3 1 3 3 1 1 1 1 1 1 1 3 3 3 0 2 1 4 1
 1 3 3 3 3 0 0 3 3 2 3 4 2 2 4 4 4 3 2 2 4 2 4 4 3 3 4 4 4 4 4 4 4 3 1 3 1
 3 3 3 3 4 3 3 3 1 2 3 4 4 3 3 3 1 4 3 3 3 3 2 4 2 3 2 3 4 3 3 4 3 4 0 3 3
 1 3 1 1 2 3 0 3 4 4 3 3 0 0 4 1 3 3 3 4 3 3 4 4 3 3 4 3 3 3 2 3 3 4 3 3 4
 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 2 3 3 4 4 3 3 4 3 3 3 1 4 4 4 4 4 3 4 2 4 4
 3 3 4 4 4 4 4 4 4 3 4 4 3 4]",0.09061424342998643,2.535344361509935,2.253547762691231,,,,0.6805986296429859,0.00015365428390252278,0.39066930570350067,False,0
28,kmeans,CNE Similarity,0.0,6,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
29,fuzzy_c_means,CNE Similarity,0.0035228729248046875,6,"[4 4 2 2 3 2 4 4 2 0 3 4 4 3 3 3 2 2 4 3 3 2 2 2 2 2 4 4 0 1 4 4 4 3 4 2 1
 1 1 1 4 4 4 1 4 4 2 1 3 3 2 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 3 3 3 4 2 2 4 2
 2 3 1 1 1 4 4 3 3 2 2 4 2 2 4 4 4 2 2 2 4 0 0 4 3 2 4 0 4 4 4 0 4 2 2 2 2
 2 2 2 2 0 0 3 2 2 2 2 4 4 2 2 2 2 4 2 1 4 3 0 4 2 2 2 2 0 2 1 4 2 4 4 2 2
 2 2 2 2 2 2 1 3 4 4 2 2 4 4 4 2 2 2 0 4 4 3 4 4 1 1 4 2 2 3 0 2 3 4 4 2 0
 4 3 3 2 4 4 2 4 2 4 2 2 2 2 4 0 3 3 4 4 2 4 4 3 4 3 2 4 4 4 4 4 2 4 2 4 4
 2 3 4 4 4 4 4 4 4 2 4 4 3 4]",0.025094099577207457,3.139643226659005,2.1285915955385257,,,,0.703209520375045,0.00017085135363576175,0.3971498576264036,False,0
